game_date,game_id,team,player,url,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm
2023-01-30,202301300BRK,LAL,Patrick Beverley,https://www.basketball-reference.com/boxscores/202301300BRK.html,34:46,.282,.188,.625,.250,0.0,2.8,1.3,12.3,0.0,0.0,0.0,10.3,84,127,-10.4
2023-01-30,202301300BRK,LAL,Dennis Schröder,https://www.basketball-reference.com/boxscores/202301300BRK.html,33:59,.283,.167,.267,.400,0.0,17.3,8.2,21.9,0.0,0.0,0.0,20.9,83,122,-10.8
2023-01-30,202301300BRK,LAL,Troy Brown Jr.,https://www.basketball-reference.com/boxscores/202301300BRK.html,31:01,.619,.625,.375,.250,20.1,31.6,25.5,21.5,0.0,0.0,18.4,14.1,127,118,5.8
2023-01-30,202301300BRK,LAL,Rui Hachimura,https://www.basketball-reference.com/boxscores/202301300BRK.html,27:48,.512,.500,.154,.462,6.4,7.0,6.7,7.0,0.0,0.0,6.0,24.1,105,126,-2.5
2023-01-30,202301300BRK,LAL,Thomas Bryant,https://www.basketball-reference.com/boxscores/202301300BRK.html,26:45,.812,.938,.250,.875,6.6,25.6,15.7,0.0,0.0,3.3,8.3,18.2,139,118,6.6
2023-01-30,202301300BRK,LAL,Russell Westbrook,https://www.basketball-reference.com/boxscores/202301300BRK.html,29:40,.470,.433,.400,.467,6.0,19.8,12.6,60.1,1.6,3.0,24.9,32.7,92,116,3.2
2023-01-30,202301300BRK,LAL,Lonnie Walker IV,https://www.basketball-reference.com/boxscores/202301300BRK.html,22:27,.630,.556,.444,.333,0.0,4.4,2.1,0.0,0.0,4.0,8.8,20.3,117,123,-1.4
2023-01-30,202301300BRK,LAL,Wenyen Gabriel,https://www.basketball-reference.com/boxscores/202301300BRK.html,15:58,.506,.500,.200,.200,5.6,18.4,11.7,0.0,0.0,0.0,0.0,27.4,107,122,-1.9
2023-01-30,202301300BRK,LAL,Juan Toscano-Anderson,https://www.basketball-reference.com/boxscores/202301300BRK.html,7:50,.000,.000,.000,.000,22.7,0.0,11.9,17.5,0.0,0.0,50.0,10.3,66,127,-11.7
2023-01-30,202301300BRK,LAL,Max Christie,https://www.basketball-reference.com/boxscores/202301300BRK.html,7:46,.521,.500,.500,1.000,0.0,12.6,6.0,0.0,0.0,0.0,25.8,20.1,75,123,-15.3
2023-01-30,202301300BRK,LAL,Damian Jones,https://www.basketball-reference.com/boxscores/202301300BRK.html,2:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,20.1,0,128,-31.9
2023-01-30,202301300BRK,BRK,Kyrie Irving,https://www.basketball-reference.com/boxscores/202301300BRK.html,38:32,.624,.531,.438,.688,2.5,13.8,8.5,20.6,2.5,2.1,8.8,25.3,131,103,5.8
2023-01-30,202301300BRK,BRK,Royce O'Neale,https://www.basketball-reference.com/boxscores/202301300BRK.html,28:08,.670,.650,.700,.100,3.5,15.8,9.9,14.0,3.4,2.8,0.0,15.9,149,99,8.7
2023-01-30,202301300BRK,BRK,Nic Claxton,https://www.basketball-reference.com/boxscores/202301300BRK.html,26:59,.429,.429,.000,.000,7.3,32.9,20.7,13.5,1.8,3.0,22.2,14.2,94,95,-3.5
2023-01-30,202301300BRK,BRK,Seth Curry,https://www.basketball-reference.com/boxscores/202301300BRK.html,21:48,.273,.273,.455,.000,0.0,8.2,4.3,0.0,0.0,0.0,0.0,21.6,60,112,-18.7
2023-01-30,202301300BRK,BRK,Joe Harris,https://www.basketball-reference.com/boxscores/202301300BRK.html,17:45,.300,.300,1.000,.000,0.0,10.0,5.3,19.2,0.0,4.5,0.0,12.0,96,108,-5.5
2023-01-30,202301300BRK,BRK,Patty Mills,https://www.basketball-reference.com/boxscores/202301300BRK.html,26:12,.788,.750,.583,.250,0.0,0.0,0.0,17.1,3.7,0.0,0.0,21.7,166,108,13.1
2023-01-30,202301300BRK,BRK,Cam Thomas,https://www.basketball-reference.com/boxscores/202301300BRK.html,23:02,.781,.769,.462,.077,0.0,15.4,8.1,7.4,0.0,0.0,18.2,30.5,118,109,4.0
2023-01-30,202301300BRK,BRK,Yuta Watanabe,https://www.basketball-reference.com/boxscores/202301300BRK.html,21:21,.721,.786,.429,.429,0.0,4.2,2.2,0.0,0.0,7.5,0.0,16.6,140,110,3.4
2023-01-30,202301300BRK,BRK,Day'Ron Sharpe,https://www.basketball-reference.com/boxscores/202301300BRK.html,20:36,.500,.500,.000,.000,38.0,25.9,31.7,19.6,2.3,7.8,11.1,18.7,137,93,3.7
2023-01-30,202301300BRK,BRK,Edmond Sumner,https://www.basketball-reference.com/boxscores/202301300BRK.html,8:24,.200,.200,.200,.000,0.0,10.6,5.5,29.1,0.0,0.0,0.0,25.4,69,112,-14.5
2023-01-30,202301300BRK,BRK,Markieff Morris,https://www.basketball-reference.com/boxscores/202301300BRK.html,7:13,1.000,1.000,.000,.000,0.0,12.3,6.5,0.0,0.0,11.1,50.0,11.8,78,102,-6.9
