game_date,game_id,team,player,url,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm
2021-03-26,202103260DAL,IND,Caris LeVert,https://www.basketball-reference.com/boxscores/202103260DAL.html,34:41,.357,.357,.500,.000,0.0,13.6,6.9,12.8,0.0,0.0,0.0,18.5,90,106,-10.0
2021-03-26,202103260DAL,IND,Domantas Sabonis,https://www.basketball-reference.com/boxscores/202103260DAL.html,34:10,.676,.591,.273,1.091,11.5,30.3,21.1,23.8,0.0,0.0,15.6,25.8,134,99,4.7
2021-03-26,202103260DAL,IND,Myles Turner,https://www.basketball-reference.com/boxscores/202103260DAL.html,33:23,.450,.450,.800,.000,0.0,19.7,10.1,12.8,3.1,16.8,23.1,17.8,80,87,2.0
2021-03-26,202103260DAL,IND,Malcolm Brogdon,https://www.basketball-reference.com/boxscores/202103260DAL.html,28:50,.745,.769,.692,.308,3.4,16.3,10.0,6.3,1.8,0.0,0.0,23.4,146,101,11.5
2021-03-26,202103260DAL,IND,Justin Holiday,https://www.basketball-reference.com/boxscores/202103260DAL.html,21:06,.500,.500,.833,.000,0.0,8.9,4.5,6.8,2.4,0.0,14.3,15.2,91,103,-4.0
2021-03-26,202103260DAL,IND,T.J. McConnell,https://www.basketball-reference.com/boxscores/202103260DAL.html,24:15,.556,.556,.111,.000,4.0,0.0,2.0,28.2,6.3,0.0,18.2,20.8,109,97,-1.8
2021-03-26,202103260DAL,IND,Edmond Sumner,https://www.basketball-reference.com/boxscores/202103260DAL.html,17:15,.635,.571,.571,.286,11.4,10.9,11.1,18.8,3.0,0.0,0.0,20.9,151,101,8.9
2021-03-26,202103260DAL,IND,Doug McDermott,https://www.basketball-reference.com/boxscores/202103260DAL.html,15:06,1.000,1.000,1.000,.000,6.5,0.0,3.2,37.7,0.0,0.0,0.0,18.2,201,111,20.5
2021-03-26,202103260DAL,IND,Jeremy Lamb,https://www.basketball-reference.com/boxscores/202103260DAL.html,14:01,.200,.200,.600,.000,7.0,0.0,3.4,29.7,3.6,0.0,0.0,16.3,92,104,-4.0
2021-03-26,202103260DAL,IND,Goga Bitadze,https://www.basketball-reference.com/boxscores/202103260DAL.html,10:41,.600,.600,.200,.000,27.5,26.4,27.0,18.3,0.0,22.5,0.0,21.4,149,87,13.6
2021-03-26,202103260DAL,IND,Brian Bowen,https://www.basketball-reference.com/boxscores/202103260DAL.html,1:38,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,108,-19.8
2021-03-26,202103260DAL,IND,Aaron Holiday,https://www.basketball-reference.com/boxscores/202103260DAL.html,1:38,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,112,-9.8
2021-03-26,202103260DAL,IND,JaKarr Sampson,https://www.basketball-reference.com/boxscores/202103260DAL.html,1:38,.000,.000,.000,.000,0.0,57.6,29.4,0.0,0.0,0.0,50.0,56.0,0,87,-60.5
2021-03-26,202103260DAL,IND,Cassius Stanley,https://www.basketball-reference.com/boxscores/202103260DAL.html,1:38,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,112,-7.8
2021-03-26,202103260DAL,DAL,Kristaps Porziņģis,https://www.basketball-reference.com/boxscores/202103260DAL.html,37:32,.506,.482,.321,.214,17.6,28.7,23.0,16.2,0.0,3.2,6.1,35.9,112,112,8.7
